Date,Open,High,Low,Close,Volume
2022-11-28,28220.560546875,28238.5,28046.3203125,28162.830078125,64600000.0
2022-11-29,27991.5,28055.91015625,27899.98046875,28027.83984375,64800000.0
2022-11-30,27886.669921875,27972.890625,27802.7109375,27968.990234375,106600000.0
2022-12-01,28273.130859375,28423.4609375,28226.080078125,28226.080078125,71400000.0
2022-12-02,27983.1796875,27983.1796875,27662.119140625,27777.900390625,79400000.0
2022-12-05,27752.990234375,27854.109375,27700.859375,27820.400390625,63900000.0
2022-12-06,27704.060546875,27934.0703125,27698.310546875,27885.869140625,60400000.0
2022-12-07,27670.2890625,27786.25,27646.779296875,27686.400390625,63000000.0
2022-12-08,27622.30078125,27643.640625,27415.66015625,27574.4296875,64900000.0
2022-12-09,27633.9609375,27952.80078125,27633.9609375,27901.009765625,70200000.0
2022-12-12,27741.099609375,27865.720703125,27734.66015625,27842.330078125,49600000.0
2022-12-13,28067.369140625,28116.560546875,27907.490234375,27954.849609375,51900000.0
2022-12-14,28005.029296875,28195.689453125,27993.779296875,28156.2109375,54800000.0
2022-12-15,27991.140625,28163.169921875,27987.5390625,28051.69921875,51100000.0
2022-12-16,27706.69921875,27713.0390625,27488.830078125,27527.119140625,83800000.0
2022-12-19,27279.919921875,27349.580078125,27165.779296875,27237.640625,58200000.0
2022-12-20,27257.349609375,27339.490234375,26416.91015625,26568.029296875,118500000.0
2022-12-21,26547.169921875,26616.279296875,26269.80078125,26387.720703125,119200000.0
2022-12-22,26552.4296875,26585.279296875,26399.310546875,26507.869140625,73400000.0
2022-12-23,26207.76953125,26291.98046875,26106.380859375,26235.25,75700000.0
2022-12-26,26299.5390625,26438.650390625,26294.849609375,26405.869140625,47300000.0
2022-12-27,26570.779296875,26620.490234375,26447.869140625,26447.869140625,50200000.0
2022-12-28,26309.33984375,26354.26953125,26199.669921875,26340.5,61500000.0
2022-12-29,26074.900390625,26126.69921875,25953.919921875,26093.669921875,63100000.0
2022-12-30,26288.0,26321.369140625,26067.919921875,26094.5,52700000.0
2023-01-03,,,,,
2023-01-04,25834.9296875,25840.6796875,25661.890625,25716.859375,83300000.0
2023-01-05,25825.5,25947.099609375,25750.4609375,25820.80078125,72300000.0
2023-01-06,25740.080078125,26034.060546875,25719.609375,25973.849609375,68200000.0
2023-01-09,,,,,
2023-01-10,26176.609375,26316.66015625,26132.80078125,26175.560546875,71200000.0
2023-01-11,26362.2109375,26479.990234375,26332.05078125,26446.0,62400000.0
2023-01-12,26524.939453125,26547.609375,26381.9296875,26449.8203125,77000000.0
2023-01-13,26391.779296875,26409.2109375,26090.83984375,26119.51953125,98300000.0
2023-01-16,25836.669921875,25938.0390625,25748.099609375,25822.3203125,71700000.0
2023-01-17,25915.509765625,26198.689453125,25895.30078125,26138.6796875,68100000.0
2023-01-18,26251.33984375,26816.6796875,26211.83984375,26791.119140625,93400000.0
2023-01-19,26541.080078125,26592.869140625,26368.970703125,26405.23046875,68700000.0
2023-01-20,26346.689453125,26553.529296875,26320.9609375,26553.529296875,60400000.0
2023-01-23,26880.2109375,26938.279296875,26788.759765625,26906.0390625,60200000.0
2023-01-24,27150.4296875,27381.0,27150.4296875,27299.189453125,70800000.0
2023-01-25,27175.880859375,27473.900390625,27175.880859375,27395.009765625,63400000.0
2023-01-26,27444.640625,27502.150390625,27284.080078125,27362.75,63300000.0
2023-01-27,27428.41015625,27452.669921875,27326.91015625,27382.560546875,71500000.0
2023-01-30,27384.76953125,27486.419921875,27337.25,27433.400390625,65800000.0
2023-01-31,27458.560546875,27494.169921875,27302.220703125,27327.109375,74600000.0
2023-02-01,27483.41015625,27547.669921875,27322.7890625,27346.880859375,65800000.0
2023-02-02,27453.669921875,27472.439453125,27338.4296875,27402.05078125,73200000.0
2023-02-03,27455.029296875,27612.5703125,27445.689453125,27509.4609375,92800000.0
2023-02-06,27764.66015625,27821.220703125,27656.470703125,27693.650390625,88400000.0
2023-02-07,27744.900390625,27814.9609375,27662.109375,27685.470703125,74300000.0
2023-02-08,27690.740234375,27719.44921875,27458.529296875,27606.4609375,69000000.0
2023-02-09,27453.400390625,27635.380859375,27424.689453125,27584.349609375,61700000.0
2023-02-10,27711.25,27814.01953125,27609.330078125,27670.98046875,88800000.0
2023-02-13,27550.349609375,27570.3203125,27266.939453125,27427.3203125,70400000.0
2023-02-14,27705.369140625,27721.8203125,27553.1796875,27602.76953125,55800000.0
2023-02-15,27686.009765625,27720.26953125,27444.130859375,27501.859375,72100000.0
2023-02-16,27654.720703125,27727.66015625,27597.119140625,27696.439453125,68100000.0
2023-02-17,27484.599609375,27608.58984375,27466.609375,27513.130859375,68800000.0
2023-02-20,27497.130859375,27531.939453125,27426.48046875,27531.939453125,62500000.0
2023-02-21,27486.08984375,27538.2890625,27359.119140625,27473.099609375,61600000.0
2023-02-22,27265.990234375,27300.529296875,27046.080078125,27104.3203125,74700000.0
2023-02-23,,,,,
2023-02-24,27144.720703125,27465.900390625,27128.3203125,27453.48046875,76000000.0
2023-02-27,27322.73046875,27456.220703125,27292.740234375,27423.9609375,59400000.0
2023-02-28,27515.33984375,27585.169921875,27400.359375,27445.560546875,86300000.0
2023-03-01,27363.5703125,27530.759765625,27305.369140625,27516.529296875,69800000.0
2023-03-02,27564.8203125,27617.80078125,27408.5390625,27498.869140625,69300000.0
2023-03-03,27683.259765625,27961.2109375,27655.33984375,27927.470703125,78200000.0
2023-03-06,28182.310546875,28288.619140625,28153.8203125,28237.779296875,65700000.0
2023-03-07,28202.58984375,28398.26953125,28202.58984375,28309.16015625,69800000.0
2023-03-08,28237.2109375,28469.41015625,28232.6796875,28444.189453125,67200000.0
2023-03-09,28648.109375,28734.7890625,28558.880859375,28623.150390625,72300000.0
2023-03-10,28385.2890625,28424.240234375,28118.740234375,28143.970703125,111300000.0
2023-03-13,27886.2109375,27906.970703125,27631.529296875,27832.9609375,96100000.0
2023-03-14,27455.94921875,27455.94921875,27104.75,27222.0390625,125700000.0
2023-03-15,27421.66015625,27424.939453125,27105.990234375,27229.48046875,86600000.0
2023-03-16,26796.669921875,27057.5390625,26632.919921875,27010.609375,107100000.0
2023-03-17,27232.23046875,27356.150390625,27071.7109375,27333.7890625,101500000.0
2023-03-20,27253.73046875,27367.1796875,26945.669921875,26945.669921875,79200000.0
2023-03-21,,,,,
